Locality,objectnum,Length
"Cerro Negro Mine, Carrizalillo, near Salado, Chile","2020.7.2430, 2020.7.2476, 2020.7.2541, 2020.7.2559, 2020.7.2560, 2020.7.2567",76
"Mina Cesucha, 10 km from Sierra Gorda, Antofagasta, Chile","2020.7.2586, 2020.7.2649, 2020.7.2665, 2020.7.2666, 2020.7.2667, 2020.7.2668",76
"Chapacase mine, Sierra Cerillos Mining Dist., Tocopilla, Chile","2020.7.2434, 2020.7.2449, 2020.7.2603, 2020.7.2604, 2020.7.2615",63
"Chuquicamata, Chile","2020.7.2473, 2020.7.2637, 2020.7.2642, 2020.7.2645, 2020.7.2652",63
"Star of the Congo Mine, Lubumbashi, Katanga, Congo","2020.7.2425, 2020.7.3204, 2020.7.3205, 2020.7.3213, 2020.7.3215",63
"Los Azules Mine, Quebrada San Miguel Mining District, nr Paipote, Chile","2020.7.2448, 2020.7.2471, 2020.7.2585, 2020.7.2617, 2020.7.2888",63
"Soledad Mine, Guanaco Mining District, near Taltal, Chile","2020.7.2451, 2020.7.2454, 2020.7.2466, 2020.7.2467, 2020.7.2482",63
"Chenmenshan Mine, Jiujiang, Jiangxi Prov., China  ","2020.7.3091, 2020.7.3128, 2020.7.3131, 2020.7.3132",50
"Dzezkazgan, Kazakhstan","2020.7.2315, 2020.7.2330, 2020.7.2342, 2020.7.2378",50
"Trepca near Mitrovica, Kosovska Mun., Kosovo","2020.7.2816, 2020.7.2818, 2020.7.2819, 2020.7.2820",50
"Huaron, Peru","2020.7.2867, 2020.7.2724, 2020.7.2725",37
"Huanzala, Peru","2020.7.2701, 2020.7.2742, 2020.7.2743",37
"Jalgoan, India","2020.7.2335, 2020.7.2336, 2020.7.2405",37
"Jianshan Fe deposit, Kuruktag Mts., Shanahan Co., N. of Lop Nur, Xinjiang Province, Northern China","2020.7.3104, 2020.7.3123, 2020.7.3162",37
"La Libertad, Quiruvilca, Peru","2020.7.2680, 2020.7.2704, 2020.7.2753",37
"Mina Alcaparrosa, Cerrotos Bayos, Atacama Desert, Region II, Chile","2020.7.2547, 2020.7.2552, 2020.7.2558",37
"Mina Siglo Vente, Bustillo Province, Potosi, Bolivia","2020.7.2805, 2020.7.2808, 2020.7.2809",37
"Poderosa Mine, Sierra Gorda, Caracoles Dist., Antofagasta, Chile","2020.7.2556, 2020.7.2575, 2020.7.2576",37
"Rosario Mabel Mine, Castrovirreyna, Huancavelica, Peru","2020.7.2741, 2020.7.2747, 2020.7.2748",37
"Wagoli, near Poona, India","2020.7.2872, 2020.7.2879, 2020.7.2899",37
"Yunnan Province, China","2020.7.3166, 2020.7.3173, 2020.7.3185",37
"Zhangergou Mine, Lushi, Henan Province, China   ","2020.7.2780, 2020.7.3046, 2020.7.3058",37
"Xikuangshan Mine, Lengshuijian, Hunan Province, China","2020.7.2796, 2020.7.3146",24
"Jinkoue, Sichuan Province, China","2020.7.2797, 2020.7.3165",24
"Jinkouhe, Leshan, Sichuan Province, China","2020.7.2795, 2020.7.2798",24
"Jinglong, Guangdong Province, China","2020.7.3171, 2020.7.3172",24
"Jinlong, Guangdong Province, China","2020.7.3032, 2020.7.2935",24
"Mundo Nuevo, Huamachuco, La Libertad, Peru","2020.7.2693, 2020.7.2719",24
"Xuebaoding, Sichuan Prov., China","2020.7.3080, 2020.7.3099",24
"San Samuel Mine, Carrera Pinto, Chile","2020.7.2443, 2020.7.2619",24
"San Samuel Mine, Carrera Pinto, inca de Oro, Chile","2020.7.2472, 2020.7.2643",24
"Wushan Mine, Tongbei Area, Fujian Province, China  ","2020.7.3011, 2020.7.3190",24
"Wushan Spessartine Mine, Tongbei, Xunxiao, Fujian Province, China","2020.7.3017, 2020.7.3096",24
"Capitana Mine, Ladrillos District, Copiapo Prov., Atacama Region, Chile","2020.7.2479, 2020.7.2489",24
"Chongyi, Ganzhou, Jiangxi Province, China","2020.7.3100, 2020.7.2950",24
"Confinaza Mine, Tilama, 5th Province, Valparizo, Chile","2020.7.2438, 2020.7.2446",24
"Dashkesan, Azerbaijan","2020.7.2846, 2020.7.3201",24
"Poona, India","2020.7.3200, 2020.7.3209",24
"Raura, Lima Department, Peru","2020.7.2755, 2020.7.2757",24
"Salvador Mine, Salvador, Chile","2020.7.2436, 2020.7.2538",24
"San Pablo Mine, inca de Oro, Copiapo Region, Chile","2020.7.2439, 2020.7.2474",24
"Wessels Mine, Kuruman, Kalahari Mn area, Cape Province, South Africa","2020.7.2321, 2020.7.2371",24
"Xinjiang Province, China  ","2020.7.3024, 2020.7.3041",24
"2nd Sovietskiy Mine, Dal'negorsk, Primorsky Kray, Eastern Russia","2020.7.3211, 2020.7.3217",24
"Anninskaya Mine, Dzhezkazgan, Kazakhstan","2020.7.2365, 2020.7.2389",24
"Bench C-2, Chuquicamata, Chile","2020.7.2620, 2020.7.2646",24
"Bertha Mine, Baquedano, Chile","2020.7.2503, 2020.7.2511",24
"Buritis, Diamantina, Minas Gerais, Brazil","2020.7.2327, 2020.7.2355",24
"Carmen Mine, El Salado, Chile","2020.7.2540, 2020.7.2579",24
"Chimbote, Ancash, Peru","2020.7.2696, 2020.7.2711",24
"Dali, Yunnan Province, China","2020.7.3168, 2020.7.3187",24
"Dayu, Jiangxi Province, China ","2020.7.2982, 2020.7.3148",24
"Dulcinea Mine, Carrera Pinto, Chile","2020.7.2440, 2020.7.2647",24
"East Mine, Bayan-Obo, inner Mongolia  ","2020.7.3109, 2020.7.3127",24
"El Azul Mine, Los Azules District, Copiapo Prov., Atacama Region, Chile","2020.7.2490, 2020.7.2508",24
"Gaoligongshan, Yunnan Province, China","2020.7.2988, 2020.7.3039",24
"Handan Mine, Hebei Province, China   ","2020.7.3122, 2020.7.3161",24
"Haydee Mine, Salar Grande, Iquique, Region 1, Atacama Desert, Chile","2020.7.2483, 2020.7.2484",24
"Huancavelica, Peru","2020.7.2727, 2020.7.2728",24
"Jaguaracu, Minas Gerais, Brazil","2020.7.2323, 2020.7.2870",24
"Knappenwand, Untersulzbachtal, Tyrol, Austria","2020.7.2319, 2020.7.2855",24
"Lily Mine, near Pisco, Ica Dept., Peru","2020.7.2453, 2020.7.2906",24
"Liu Fang Shan Mine, Anhui Province, China  ","2020.7.3087, 2020.7.3164",24
"Lushe, Henan Province, China","2020.7.2781, 2020.7.3102",24
