Term,TermMasterID,TermID_dnu,Term_dnu,Path,TableID,ThesXrefTypeID,ThesXrefTableID,TermID3,PrimaryCNID,TermMasterID5,TermMasterID6
Brazil,1545682,2028108,Brazil,"Brazil, South America",108,20,346,2028108,1545682,1545682,1
Minas Gerais,1545683,2028109,Minas Gerais,"Minas Gerais, Brazil, South America",108,20,346,2028109,1545683,1545683,1
Unknown,1545684,2028110,Unknown,"Unknown, Legacy",108,20,346,2028110,1545684,1545684,1
USA,1545685,2028111,USA,"USA, North America",108,20,346,2028111,1545685,1545685,1
New Hampshire,1545686,2028112,New Hampshire,"New Hampshire, USA, North America",108,20,346,2028112,1545686,1545686,1
Keyes Mine,1545688,2028114,Keyes Mine,"Keyes Mine, Orange, New Hampshire, USA, North America",108,20,346,2028114,1545688,1545688,1
Maine,1545689,2028115,Maine,"Maine, USA, North America",108,20,346,2028115,1545689,1545689,1
Androscoggin Co.,1545693,2028119,Androscoggin Co.,"Androscoggin Co., Maine, USA, North America",108,20,346,2028119,1545693,1545693,1
Auburn,1545694,2028120,Auburn,"Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028120,1545694,1545694,1
Mt. Apatite,1545695,2028121,Mt. Apatite,"Mt. Apatite, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028121,1545695,1545695,1
Grafton Co.,1545696,2028122,Grafton Co.,"Grafton Co., New Hampshire, USA, North America",108,20,346,2028122,1545696,1545696,1
Gilsum,1545699,2028125,Gilsum,"Gilsum, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028125,1545699,1545699,1
Kirk #3 Mine,1545700,2028126,Kirk #3 Mine,"Kirk #3 Mine, Gilsum, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028126,1545700,1545700,1
Sri Lanka,1545701,2028127,Sri Lanka,"Sri Lanka, Asia",108,20,346,2028127,1545701,1545701,1
East Africa,1545702,2028128,East Africa,"East Africa, Africa",108,20,346,2028128,1545702,1545702,1
Australia,1545703,2028129,Australia,"Australia, Oceana",108,20,346,2028129,1545703,1545703,1
Synthetic,1545704,2028130,Synthetic,Synthetic,108,20,346,2028130,1545704,1545704,1
Namibia,1545705,2028131,Namibia,"Namibia, Africa",108,20,346,2028131,1545705,1545705,1
Onganja Mine,1545706,2028132,Onganja Mine,"Onganja Mine, Namibia, Africa",108,20,346,2028132,1545706,1545706,1
New Jersey,1545707,2028133,New Jersey,"New Jersey, USA, North America",108,20,346,2028133,1545707,1545707,1
Bound Brook,1545708,2028134,Bound Brook,"Bound Brook, New Jersey, USA, North America",108,20,346,2028134,1545708,1545708,1
Chimney Rock Quarry,1545709,2028135,Chimney Rock Quarry,"Chimney Rock Quarry, Bound Brook, New Jersey, USA, North America",108,20,346,2028135,1545709,1545709,1
Ussr,1545710,2028136,Ussr,"Ussr, Asia",108,20,346,2028136,1545710,1545710,1
Mexico,1545713,2028139,Mexico,"Mexico, North America",108,20,346,2028139,1545713,1545713,1
Durango,1545714,2028140,Durango,"Durango, Mexico, North America",108,20,346,2028140,1545714,1545714,1
Cerro De Mercado,1545715,2028141,Cerro De Mercado,"Cerro De Mercado, Durango, Mexico, North America",108,20,346,2028141,1545715,1545715,1
Westmoreland,1545716,2028142,Westmoreland,"Westmoreland, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028142,1545716,1545716,1
Wise Mine,1545717,2028143,Wise Mine,"Wise Mine, Westmoreland, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028143,1545717,1545717,1
Idaho,1545718,2028144,Idaho,"Idaho, USA, North America",108,20,346,2028144,1545718,1545718,1
Star Mine,1545719,2028145,Star Mine,"Star Mine, Idaho, USA, North America",108,20,346,2028145,1545719,1545719,1
Mapimi,1545720,2028146,Mapimi,"Mapimi, Durango, Mexico, North America",108,20,346,2028146,1545720,1545720,1
Ojuela Mine,1545721,2028147,Ojuela Mine,"Ojuela Mine, Mapimi, Durango, Mexico, North America",108,20,346,2028147,1545721,1545721,1
Norway,1545722,2028148,Norway,"Norway, Europe",108,20,346,2028148,1545722,1545722,1
Almklovdalm,1545723,2028149,Almklovdalm,"Almklovdalm, Norway, Europe",108,20,346,2028149,1545723,1545723,1
Stark,1545724,2028150,Stark,"Stark, New Hampshire, USA, North America",108,20,346,2028150,1545724,1545724,1
Long Mtn.,1545725,2028151,Long Mtn.,"Long Mtn., Stark, New Hampshire, USA, North America",108,20,346,2028151,1545725,1545725,1
Madagascar,1545726,2028152,Madagascar,"Madagascar, Africa",108,20,346,2028152,1545726,1545726,1
Tsarasotra,1545727,2028153,Tsarasotra,"Tsarasotra, Madagascar, Africa",108,20,346,2028153,1545727,1545727,1
Canada,1545728,2028154,Canada,"Canada, North America",108,20,346,2028154,1545728,1545728,1
Quebec,1545729,2028155,Quebec,"Quebec, Canada, North America",108,20,346,2028155,1545729,1545729,1
Mont St.Hilaire,1545730,2028156,Mont St.Hilaire,"Mont St.Hilaire, Quebec, Canada, North America",108,20,346,2028156,1545730,1545730,1
New York,1545731,2028157,New York,"New York, USA, North America",108,20,346,2028157,1545731,1545731,1
Nepal,1545733,2028159,Nepal,"Nepal, Asia",108,20,346,2028159,1545733,1545733,1
Katmandu,1545734,2028160,Katmandu,"Katmandu, Nepal, Asia",108,20,346,2028160,1545734,1545734,1
Utah,1545735,2028161,Utah,"Utah, USA, North America",108,20,346,2028161,1545735,1545735,1
Lucin,1545736,2028162,Lucin,"Lucin, Utah, USA, North America",108,20,346,2028162,1545736,1545736,1
Tanzania,1545737,2028163,Tanzania,"Tanzania, Africa",108,20,346,2028163,1545737,1545737,1
Arusha,1545738,2028164,Arusha,"Arusha, Tanzania, Africa",108,20,346,2028164,1545738,1545738,1
Victorhead,1545739,2028165,Victorhead,"Victorhead, Stark, New Hampshire, USA, North America",108,20,346,2028165,1545739,1545739,1
Unknown Elbaite,1545744,2028170,Unknown Elbaite,"Unknown Elbaite, Maine, USA, North America",108,20,346,2028170,1545744,1545744,1
[Minas Gerais],1545753,2028179,[Minas Gerais],"[Minas Gerais], Brazil, South America",108,20,346,2028179,1545753,1545753,1
Arrasani,1545754,2028180,Arrasani,"Arrasani, Minas Gerais, Brazil, South America",108,20,346,2028180,1545754,1545754,1
Perm,1545756,2028182,Perm,"Perm, URALS, Ussr, Asia",108,20,346,2028182,1545756,1545756,1
Connecticut,1545757,2028183,Connecticut,"Connecticut, USA, North America",108,20,346,2028183,1545757,1545757,1
Itinga,1545760,2028186,Itinga,"Itinga, Minas Gerais, Brazil, South America",108,20,346,2028186,1545760,1545760,1
California,1545761,2028187,California,"California, USA, North America",108,20,346,2028187,1545761,1545761,1
San Diego Co.,1545762,2028188,San Diego Co.,"San Diego Co., California, USA, North America",108,20,346,2028188,1545762,1545762,1
Pala,1545763,2028189,Pala,"Pala, Pala District, San Diego Co., California, USA, North America",108,20,346,2028189,1545763,1545763,1
Tsumeb,1545764,2028190,Tsumeb,"Tsumeb, Namibia, Africa",108,20,346,2028190,1545764,1545764,1
Czechoslovakia,1545765,2028191,Czechoslovakia,"Czechoslovakia, Czech Republic, Europe",108,20,346,2028191,1545765,1545765,1
Bilin,1545766,2028192,Bilin,"Bilin, Czechoslovakia, Czech Republic, Europe",108,20,346,2028192,1545766,1545766,1
Spain,1545767,2028193,Spain,"Spain, Europe",108,20,346,2028193,1545767,1545767,1
Santander,1545768,2028194,Santander,"Santander, Spain, Europe",108,20,346,2028194,1545768,1545768,1
Sierra Da Chibata,1545770,2028196,Sierra Da Chibata,"Sierra Da Chibata, RIO PARDO, Minas Gerais, Brazil, South America",108,20,346,2028196,1545770,1545770,1
Burma,1545771,2028197,Burma,"Burma, Asia",108,20,346,2028197,1545771,1545771,1
Japan,1545773,2028199,Japan,"Japan, Asia",108,20,346,2028199,1545773,1545773,1
Arizona,1545774,2028200,Arizona,"Arizona, USA, North America",108,20,346,2028200,1545774,1545774,1
North Carolina,1545775,2028201,North Carolina,"North Carolina, USA, North America",108,20,346,2028201,1545775,1545775,1
Virginia,1545776,2028202,Virginia,"Virginia, USA, North America",108,20,346,2028202,1545776,1545776,1
Amelia Co.,1545777,2028203,Amelia Co.,"Amelia Co., Virginia, USA, North America",108,20,346,2028203,1545777,1545777,1
Rutherford Mine,1545778,2028204,Rutherford Mine,"Rutherford Mine, Amelia Co., Virginia, USA, North America",108,20,346,2028204,1545778,1545778,1
Gore Mtn.,1545780,2028206,Gore Mtn.,"Gore Mtn., North Creek, New York, USA, North America",108,20,346,2028206,1545780,1545780,1
Lalatema,1545781,2028207,Lalatema,"Lalatema, Tanzania, Africa",108,20,346,2028207,1545781,1545781,1
India,1545782,2028208,India,"India, Asia",108,20,346,2028208,1545782,1545782,1
Table Mtn.,1545785,2028211,Table Mtn.,"Table Mtn., Bartlett, Carroll Co., New Hampshire, USA, North America",108,20,346,2028211,1545785,1545785,1
Marlow,1545786,2028212,Marlow,"Marlow, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028212,1545786,1545786,1
Turner Mine,1545787,2028213,Turner Mine,"Turner Mine, Marlow, Cheshire Co., New Hampshire, USA, North America",108,20,346,2028213,1545787,1545787,1
Barry-Havey Quarry,1545788,2028214,Barry-Havey Quarry,"Barry-Havey Quarry, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028214,1545788,1545788,1
Maharashtra,1545789,2028215,Maharashtra,"Maharashtra, India, Asia",108,20,346,2028215,1545789,1545789,1
Nasik,1545790,2028216,Nasik,"Nasik, Maharashtra, India, Asia",108,20,346,2028216,1545790,1545790,1
Franklin,1545791,2028217,Franklin,"Franklin, New Jersey, USA, North America",108,20,346,2028217,1545791,1545791,1
Cornwall,1545793,2028219,Cornwall,"Cornwall, England, United Kingdom, Europe",108,20,346,2028219,1545793,1545793,1
Ouro Preto,1545794,2028220,Ouro Preto,"Ouro Preto, Minas Gerais, Brazil, South America",108,20,346,2028220,1545794,1545794,1
Colombia,1545795,2028221,Colombia,"Colombia, South America",108,20,346,2028221,1545795,1545795,1
Thailand,1545796,2028222,Thailand,"Thailand, Asia",108,20,346,2028222,1545796,1545796,1
Macon Co.,1545798,2028224,Macon Co.,"Macon Co., N.CAROLINA, Unknown, Legacy",108,20,346,2028224,1545798,1545798,1
Utah,1545799,2028225,Utah,"Utah, Unknown, Legacy",108,20,346,2028225,1545799,1545799,1
Montana,1545800,2028226,Montana,"Montana, Unknown, Legacy",108,20,346,2028226,1545800,1545800,1
Baja,1545802,2028228,Baja,"Baja, California, Unknown, Legacy",108,20,346,2028228,1545802,1545802,1
Mesa Mt.,1545803,2028229,Mesa Mt.,"Mesa Mt., Baja, California, Unknown, Legacy",108,20,346,2028229,1545803,1545803,1
Kelly,1545805,2028231,Kelly,"Kelly, NEW MEXICO, Unknown, Legacy",108,20,346,2028231,1545805,1545805,1
Chihuahua,1545806,2028232,Chihuahua,"Chihuahua, Mexico, North America",108,20,346,2028232,1545806,1545806,1
Greenlaw Quarry,1545807,2028233,Greenlaw Quarry,"Greenlaw Quarry, Auburn, Androscoggin Co., Maine, USA, North America",108,20,346,2028233,1545807,1545807,1
Santandar,1545808,2028234,Santandar,"Santandar, Spain, Europe",108,20,346,2028234,1545808,1545808,1
South Australia,1545810,2028236,South Australia,"South Australia, Australia, Oceana",108,20,346,2028236,1545810,1545810,1
Coober Pedy,1545811,2028237,Coober Pedy,"Coober Pedy, South Australia, Australia, Oceana",108,20,346,2028237,1545811,1545811,1
Four Peaks,1545813,2028239,Four Peaks,"Four Peaks, Salt River Dist., Arizona, Arizona, USA, North America",108,20,346,2028239,1589996,1545813,1
Greenland,1545817,2028243,Greenland,"Greenland, Europe",108,20,346,2028243,1545817,1545817,1
Ilimaussaq,1545818,2028244,Ilimaussaq,"Ilimaussaq, Greenland, Europe",108,20,346,2028244,1545818,1545818,1
